"FOLIO","P1_1","P1_2_1","P1_2_2","P1_3","P1_4_1","P1_4_2","P1_4_3","P1_4_4","P1_4_5","P1_4_6","P1_5","P4_1_1","P4_1_2","P4_1_3","ENT","FACTOR"
"00009410","02","01","01","1","2","2","1","2","1","1","","2","2","2","15",6736
"00009411","03","02","01","2","","","","","","","","","","","19",1843
"00009412","05","02","03","1","1","2","1","1","1","2","01","1","2","1","20",267
"00009413","04","02","02","1","2","2","1","2","1","2","06","2","1","1","18",679
"00009414","06","02","04","1","1","2","1","1","1","1","","1","1","2","01",258
"00009415","05","02","03","1","2","1","1","2","1","1","","3","3","3","13",891
"00009416","05","03","02","2","","","","","","","","","","","04",77
"00009417","02","01","01","2","","","","","","","","","","","26",874
"00009418","05","04","01","1","1","2","1","2","1","1","","1","1","1","12",456
"00009419","03","02","01","1","2","2","2","2","1","1","","2","2","2","25",1289
"00009420","04","02","02","1","1","2","1","1","1","1","","1","1","1","09",4000
"00009421","03","02","01","1","2","2","2","2","1","2","06","1","1","1","12",698
"00009422","03","02","01","2","","","","","","","","","","","18",207
"00009423","05","02","03","1","1","1","2","1","1","1","","3","1","2","06",425
"00009424","12","06","06","1","2","2","1","1","1","2","01","1","1","1","25",3384
"00009425","07","02","05","1","2","2","2","2","2","1","","1","1","1","32",2642
"00009426","04","03","01","1","2","2","1","2","1","1","","1","1","1","26",1313
"00009427","11","05","06","1","1","2","1","2","1","2","01","1","1","1","31",217
"00009428","04","02","02","1","2","1","2","2","1","1","","1","1","3","26",805
"00009429","01","00","01","2","","","","","","","","","","","29",659
"00009430","09","04","05","1","2","2","1","2","1","1","","1","1","1","30",2279
"00009431","06","02","04","1","2","1","1","2","1","2","01","1","1","1","22",836
"00009432","01","00","01","2","","","","","","","","","","","16",2252
"00009433","02","01","01","1","2","1","1","2","1","1","","1","1","1","18",522
"00009434","02","01","01","2","","","","","","","","","","","23",982
"00009435","05","04","01","1","2","1","1","1","1","1","","1","3","3","08",1144
"00009436","02","01","01","2","","","","","","","","","","","30",2651
"00009437","02","01","01","2","","","","","","","","","","","18",281
"00009438","03","01","02","2","","","","","","","","","","","23",674
"00009439","02","01","01","1","2","2","1","1","1","1","","1","1","1","13",1270
"00009440","04","01","03","2","","","","","","","","","","","04",128
"00009441","05","02","03","1","1","2","1","2","1","1","","1","1","1","31",1085
"00009442","04","02","02","2","","","","","","","","","","","29",116
"00009443","08","05","03","1","2","2","1","2","1","1","","2","2","2","22",3340
"00009444","01","01","00","2","","","","","","","","","","","22",1467
"00009445","05","03","02","1","1","1","1","1","1","1","","2","2","1","24",924
"00009446","04","01","03","2","","","","","","","","","","","11",762
"00009447","04","02","02","2","","","","","","","","","","","26",445
"00009448","01","01","00","2","","","","","","","","","","","30",5920
"00009449","04","03","01","2","","","","","","","","","","","05",564
"00009450","06","04","02","1","2","2","2","2","2","2","01","1","1","2","20",696
"00009451","04","02","02","1","2","1","1","1","1","1","","1","1","1","01",334
"00009452","04","01","03","1","2","2","2","2","2","2","01","1","1","2","21",895
"00009453","08","04","04","1","2","2","2","2","1","2","01","9","2","9","20",1350
"00009454","02","01","01","1","1","2","1","2","1","1","","1","1","2","31",1152
"00009455","02","01","01","2","","","","","","","","","","","20",738
"00009456","04","01","03","1","1","1","1","1","1","1","","1","1","1","09",2972
"00009457","01","01","00","1","2","2","1","2","1","2","01","1","1","2","16",3390
"00009458","04","02","02","2","","","","","","","","","","","20",263
"00009459","03","02","01","1","2","2","1","2","1","1","","2","2","3","20",885
"00009460","03","02","01","1","2","1","2","2","1","1","","1","2","2","07",2218
"00009461","05","03","02","1","1","1","1","2","1","1","","1","1","1","27",562
"00009462","03","02","01","1","2","2","1","2","1","1","","2","2","2","13",1299
"00009463","01","00","01","2","","","","","","","","","","","10",1284
"00009464","03","02","01","2","","","","","","","","","","","20",411
"00009465","02","01","01","2","","","","","","","","","","","29",288
"00009466","02","01","01","2","","","","","","","","","","","26",874
"00009467","02","02","00","1","2","2","1","1","1","1","","1","1","2","08",1743
"00009468","04","02","02","1","1","1","1","1","1","1","","2","2","4","02",1700
"00009469","03","00","03","1","2","1","1","1","1","1","","1","1","1","31",934
"00009470","07","03","04","1","2","1","2","2","1","1","","1","2","3","03",365
"00009471","04","02","02","1","2","1","2","2","1","1","","2","2","1","17",793
"00009472","05","02","03","1","2","2","2","2","1","2","01","1","1","1","18",278
"00009473","05","02","03","1","1","2","1","2","1","1","","1","1","1","09",3639
"00009474","02","01","01","2","","","","","","","","","","","10",610
"00009475","06","01","05","1","2","1","2","2","1","2","06","1","1","1","20",1903
"00009476","05","03","02","1","1","1","1","1","1","1","","1","1","1","22",556
"00009477","05","04","01","1","2","2","2","2","1","2","05","2","1","2","10",898
"00009478","05","03","02","1","2","1","1","2","1","1","","2","1","3","20",1603
"00009479","03","01","02","2","","","","","","","","","","","24",546
"00009480","01","00","01","2","","","","","","","","","","","25",1899
"00009481","02","01","01","2","","","","","","","","","","","01",441
"00009482","01","00","01","2","","","","","","","","","","","23",2007
"00009483","02","01","01","2","","","","","","","","","","","09",4378
"00009484","02","01","01","2","","","","","","","","","","","32",324
"00009485","06","02","04","1","1","1","1","1","1","1","","1","1","1","27",720
"00009486","04","02","02","1","2","2","2","2","1","1","","1","1","1","20",756
"00009487","02","01","01","2","","","","","","","","","","","16",1104
"00009488","05","03","02","1","2","2","1","2","1","2","02","1","1","1","29",203
"00009489","04","01","03","2","","","","","","","","","","","26",470
"00009490","04","02","02","1","2","1","1","1","1","1","","1","1","4","17",721
"00009491","02","01","01","2","","","","","","","","","","","26",874
"00009492","02","01","01","2","","","","","","","","","","","29",288
"00009493","03","02","01","1","2","2","1","2","1","1","","2","3","3","19",2264
"00009494","04","01","03","1","2","1","1","2","1","1","","1","2","3","08",3307
"00009495","04","01","03","1","2","2","1","2","1","1","","1","2","1","27",1427
"00009496","03","00","03","1","2","2","1","2","1","1","","1","1","1","12",655
"00009497","04","02","02","2","","","","","","","","","","","10",237
"00009498","04","01","03","2","","","","","","","","","","","25",567
"00009499","02","00","02","1","2","1","2","1","1","1","","3","3","3","29",374
"00009500","01","00","01","2","","","","","","","","","","","26",1780
"00009501","04","02","02","1","2","1","1","2","1","1","","1","1","3","31",630
"00009502","04","02","02","1","2","2","1","1","1","1","","1","1","1","28",1481
